longitude_list,latitude_list,sflux_data_list
30.0,-5.0,1.1000302977179249e-12
30.0,0.0,2.2172366615957783e-11
30.0,5.0,2.8972871248283684e-13
30.0,10.0,3.4795001881837544e-13
30.0,15.0,2.908106420526594e-13
30.0,20.0,3.2277122140604695e-13
30.0,25.0,4.823785607468992e-13
30.0,30.0,5.300875581893087e-13
30.0,35.0,6.758600523308022e-13
30.0,40.0,5.780118791993783e-13
30.0,45.0,4.069807408463881e-13
30.0,50.0,3.0193349270429846e-13
30.0,55.0,2.5346268742261933e-13
30.0,60.0,2.2712234222256736e-13
30.0,65.0,1.3390175604006671e-13
30.0,70.0,1.2527544318875542e-13
30.0,75.0,1.1498624605097324e-13
30.0,80.0,8.19839232600789e-14
30.0,85.0,7.856194113604426e-14
30.0,90.0,7.731334004579847e-14
35.0,-90.0,1.656027526828101e-14
35.0,-85.0,8.609616385722486e-15
35.0,-80.0,7.91210348172658e-15
35.0,-75.0,1.2544218873324303e-14
35.0,-70.0,2.9068897548897886e-14
35.0,-65.0,7.74535780542255e-14
35.0,-60.0,7.422602533098123e-14
35.0,-55.0,4.148823355080611e-14
35.0,-50.0,1.2301400392919037e-14
35.0,-45.0,8.791492803526196e-15
35.0,-40.0,1.4375939652745613e-14
35.0,-35.0,2.7603107978477743e-13
35.0,-30.0,1.0407080013149657e-12
35.0,-25.0,3.8212875251846926e-13
35.0,-20.0,2.1190057145538776e-13
35.0,-15.0,1.2419763982648126e-13
35.0,-10.0,2.8163622407487845e-13
35.0,-5.0,8.407183293451951e-13
35.0,0.0,1.5529307604583563e-13
35.0,5.0,7.935583225555602e-14
35.0,10.0,2.8035001272564605e-13
35.0,15.0,7.112340856826033e-13
35.0,20.0,2.934398516814721e-13
35.0,25.0,3.081274120174836e-13
35.0,30.0,2.465143960713425e-13
35.0,35.0,3.860993850031955e-13
35.0,40.0,3.0399785572668214e-13
35.0,45.0,3.0065164838070835e-13
35.0,50.0,2.724429131694798e-13
35.0,55.0,2.2499702838612717e-13
35.0,60.0,2.316442256034479e-13
35.0,65.0,8.030124895834585e-14
35.0,70.0,1.19677177165505e-13
35.0,75.0,1.1277157993030977e-13
35.0,80.0,7.817611479913347e-14
35.0,85.0,7.740126536590923e-14
35.0,90.0,7.731334004579847e-14
40.0,-90.0,1.656027526828101e-14
40.0,-85.0,8.4201975593859e-15
40.0,-80.0,7.353127053828543e-15
40.0,-75.0,1.0007126037851966e-14
40.0,-70.0,2.3970759041548424e-14
40.0,-65.0,6.309306131574111e-14
40.0,-60.0,7.483247679422077e-14
40.0,-55.0,1.922548835400814e-14
40.0,-50.0,1.383939143145657e-14
40.0,-45.0,1.2463857539183304e-14
40.0,-40.0,1.9415850503800678e-14
40.0,-35.0,2.3131469083515066e-13
40.0,-30.0,2.3410089084526495e-13
40.0,-25.0,2.6445405203559664e-13
40.0,-20.0,1.3773818557443043e-13
40.0,-15.0,2.0122940124993773e-13
40.0,-10.0,1.8400722198596655e-13
40.0,-5.0,6.56242859322427e-13
40.0,0.0,1.3503205211210607e-07
40.0,5.0,3.5821923558382806e-13
40.0,10.0,1.247318908121872e-12
40.0,15.0,4.232930291882139e-13
40.0,20.0,3.412403746994675e-13
40.0,25.0,3.252729345453688e-13
40.0,30.0,3.708469394696161e-13
40.0,35.0,3.8909282085461983e-13
40.0,40.0,2.959521289553957e-13
40.0,45.0,2.7124414533440633e-13
40.0,50.0,2.492150237120719e-13
40.0,55.0,1.896680546647291e-13
40.0,60.0,1.81782171762475e-13
40.0,65.0,8.259816102428021e-14
40.0,70.0,1.159186466972575e-13
40.0,75.0,8.098158619486903e-14
40.0,80.0,7.91499873741167e-14
40.0,85.0,8.27618486578015e-14
40.0,90.0,7.731334004579847e-14
45.0,-90.0,1.656027526828101e-14
45.0,-85.0,8.171734857719275e-15
45.0,-80.0,7.495652453067353e-15
45.0,-75.0,1.600769623994067e-14
45.0,-70.0,2.5694861923466246e-14
