longitude_list,latitude_list,OVII_column_number_density_integrate_data_list
15.0,10.0,15.616344852676919
15.0,15.0,15.525279021728352
15.0,20.0,15.494019614997269
15.0,25.0,15.559033924639483
15.0,30.0,15.561236840067282
15.0,35.0,15.493255870978851
15.0,40.0,15.41154850541879
15.0,45.0,15.319671559250942
15.0,50.0,15.271188122515683
15.0,55.0,15.29839198683146
15.0,60.0,15.253961796914835
15.0,65.0,15.198196408488542
15.0,70.0,15.133182561474543
15.0,75.0,15.073821544960749
15.0,80.0,15.089300679996438
15.0,85.0,15.109686751345938
15.0,90.0,15.252713668975785
20.0,-90.0,15.01682091453129
20.0,-85.0,14.904999464166256
20.0,-80.0,14.894514861644687
20.0,-75.0,14.921894612465959
20.0,-70.0,14.948834101675356
20.0,-65.0,14.946032513108545
20.0,-60.0,14.994280922324766
20.0,-55.0,15.024733679064651
20.0,-50.0,15.02686804796369
20.0,-45.0,15.164350637402233
20.0,-40.0,15.205516072986578
20.0,-35.0,15.311709270814069
20.0,-30.0,15.364538223529717
20.0,-25.0,15.317628125840914
20.0,-20.0,15.497125123981341
20.0,-15.0,15.65569737411414
20.0,-10.0,15.803349501353049
20.0,-5.0,15.842274735038872
20.0,0.0,16.644894058675366
20.0,5.0,15.86088874419631
20.0,10.0,15.628435077747872
20.0,15.0,15.514629238539563
20.0,20.0,15.48755271844849
20.0,25.0,15.372933500942597
20.0,30.0,15.347231997295632
20.0,35.0,15.446073154085996
20.0,40.0,15.395175656070348
20.0,45.0,15.318850041472146
20.0,50.0,15.305228645480769
20.0,55.0,15.308198360375828
20.0,60.0,15.27021778918545
20.0,65.0,15.212905542783433
20.0,70.0,15.139623002214234
20.0,75.0,15.202907302607274
20.0,80.0,15.14397774643798
20.0,85.0,15.135374427212543
20.0,90.0,15.252713668975785
25.0,-90.0,15.01682091453129
25.0,-85.0,14.899851041001464
25.0,-80.0,14.900487040436495
25.0,-75.0,14.907083640458453
25.0,-70.0,14.983818685197503
25.0,-65.0,14.925760371405822
25.0,-60.0,14.974932368267279
25.0,-55.0,15.020844172755279
25.0,-50.0,15.079459817658153
25.0,-45.0,15.202515609100821
25.0,-40.0,15.247562437843767
25.0,-35.0,15.424002989440083
25.0,-30.0,15.377224416399923
25.0,-25.0,15.52113338569878
25.0,-20.0,15.58833473835774
25.0,-15.0,15.675548070178873
25.0,-10.0,15.792188981926454
25.0,-5.0,15.721869289604625
25.0,0.0,15.460636150698909
25.0,5.0,15.458578073861364
25.0,10.0,15.481887660890015
25.0,15.0,15.42133597940695
25.0,20.0,15.397422495180093
25.0,25.0,15.270229902549394
25.0,30.0,15.263025734158159
25.0,35.0,15.302501953451706
25.0,40.0,15.454088119533608
25.0,45.0,15.317414905607047
25.0,50.0,15.291214304176215
25.0,55.0,15.319069754250867
25.0,60.0,15.25559750902062
25.0,65.0,15.229892378369964
25.0,70.0,15.165301362255136
25.0,75.0,15.23447326874591
25.0,80.0,15.149727633556216
25.0,85.0,15.15022500994021
25.0,90.0,15.252713668975785
30.0,-90.0,15.01682091453129
