longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
10.0,75.0,14.427365158254375
10.0,80.0,14.47555916323437
10.0,85.0,14.52861268522598
10.0,90.0,14.534958148663772
15.0,-90.0,14.405611173066939
15.0,-85.0,14.3062652639447
15.0,-80.0,14.295546745736916
15.0,-75.0,14.359513706071132
15.0,-70.0,14.264455500975496
15.0,-65.0,14.315478712501251
15.0,-60.0,14.212489079517322
15.0,-55.0,14.257951784995534
15.0,-50.0,14.320104501516383
15.0,-45.0,14.45531599147283
15.0,-40.0,14.534587977967446
15.0,-35.0,14.53182285150057
15.0,-30.0,14.564728609949634
15.0,-25.0,14.70171446154798
15.0,-20.0,14.73209119193405
15.0,-15.0,14.925512607214017
15.0,-10.0,14.958050232687512
15.0,-5.0,14.867783901522687
15.0,0.0,15.473439832942454
15.0,5.0,14.635149296383794
15.0,10.0,14.74676032984539
15.0,15.0,14.6746842331024
15.0,20.0,14.423482303233971
15.0,25.0,14.449445721883793
15.0,30.0,14.463133526625047
15.0,35.0,14.397776025529529
15.0,40.0,14.502606138805113
15.0,45.0,14.463842144515656
15.0,50.0,14.405846807963103
15.0,55.0,14.278135291807365
15.0,60.0,14.301898265714142
15.0,65.0,14.419296106390014
15.0,70.0,14.39560894103425
15.0,75.0,14.41202521115272
15.0,80.0,14.484937875728995
15.0,85.0,14.531361236325818
15.0,90.0,14.534958148663772
20.0,-90.0,14.405611173066939
20.0,-85.0,14.32697761905548
20.0,-80.0,14.297682268411945
20.0,-75.0,14.379955395197042
20.0,-70.0,14.36432300560208
20.0,-65.0,14.335093098565567
20.0,-60.0,14.29842996579213
20.0,-55.0,14.26638092802396
20.0,-50.0,14.379674896307582
20.0,-45.0,14.576210941759083
20.0,-40.0,14.56893714019282
20.0,-35.0,14.631931062792184
20.0,-30.0,14.671272143042284
20.0,-25.0,14.748226239160951
20.0,-20.0,14.726945901558544
20.0,-15.0,14.794897045847128
20.0,-10.0,14.797606020435136
20.0,-5.0,14.658317998869748
20.0,0.0,14.768321623534034
20.0,5.0,14.451774960174198
20.0,10.0,14.793733903671123
20.0,15.0,14.607025128348301
20.0,20.0,14.2985943845825
20.0,25.0,14.318313496575028
20.0,30.0,14.21573297044082
20.0,35.0,14.324711161874717
20.0,40.0,14.394692423059034
20.0,45.0,14.366473183206704
20.0,50.0,14.325965581518819
20.0,55.0,14.288096650513168
20.0,60.0,14.283394159928422
20.0,65.0,14.388105844046143
20.0,70.0,14.405145692468754
20.0,75.0,14.397737807633487
20.0,80.0,14.501960433886513
20.0,85.0,14.536765240750992
20.0,90.0,14.534958148663772
25.0,-90.0,14.405611173066939
25.0,-85.0,14.329635470651592
25.0,-80.0,14.325307931607107
25.0,-75.0,14.388911648264305
25.0,-70.0,14.447836209907381
25.0,-65.0,14.377111588554476
25.0,-60.0,14.338603310410459
25.0,-55.0,14.340248414599786
25.0,-50.0,14.436786759294328
25.0,-45.0,14.647886973718913
25.0,-40.0,14.535673109286888
25.0,-35.0,14.626470022000177
25.0,-30.0,14.775700712298963
25.0,-25.0,14.744740628291478
25.0,-20.0,14.714019503331226
25.0,-15.0,14.712888052779169
25.0,-10.0,14.63723424908435
25.0,-5.0,14.515951089468233
25.0,0.0,12.294527623300237
25.0,5.0,13.45876486167171
25.0,10.0,14.53962699872383
25.0,15.0,14.532634223678057
25.0,20.0,14.259990467231406
25.0,25.0,14.19311666850877
25.0,30.0,14.201222068202222
25.0,35.0,14.18341069811034
25.0,40.0,14.216925105473363
25.0,45.0,14.424810393928105
25.0,50.0,14.285088465393056
25.0,55.0,14.321440077977302
25.0,60.0,14.32611388654382
25.0,65.0,14.381783285641363
25.0,70.0,14.42057654026754
25.0,75.0,14.447702525750348
25.0,80.0,14.51830939832712
25.0,85.0,14.54214169126832
25.0,90.0,14.534958148663772
30.0,-90.0,14.405611173066939
30.0,-85.0,14.333599572230831
30.0,-80.0,14.340466733701962
30.0,-75.0,14.422166317073685
30.0,-70.0,14.481203647839864
30.0,-65.0,14.373145194073476
30.0,-60.0,14.34284303718566
30.0,-55.0,14.379891377078414
30.0,-50.0,14.626765177370043
30.0,-45.0,14.520702708701204
30.0,-40.0,14.694794961312164
